ko, ko, , , Korean, Korean, , , 
yy. M. d, yyyy. M. d, yyyy'년' M'월' d'일' '('EE')'
a h:mm, a h:mm:ss, a h'시' mm'분' ss'초'
#,##0, #,##0.###, #,##0%, ¤ #,##0.00

vi, vi, , , 베트남어, 베트남어, , 
sr-ME, sr, ME, , 세르비아어 (몬테네그로), 세르비아어, 몬테네그로, 
pt-BR, pt, BR, , 포르투칼어 (브라질), 포르투칼어, 브라질, 
no-NO, no, NO, , 노르웨이어 (노르웨이), 노르웨이어, 노르웨이, 
el, el, , , 그리스어, 그리스어, , 
de-CH, de, CH, , 독일어 (스위스), 독일어, 스위스, 
zh-SG, zh, SG, , 중국어 (싱가포르), 중국어, 싱가포르, 
ar-KW, ar, KW, , 아랍어 (쿠웨이트), 아랍어, 쿠웨이트, 
ar-EG, ar, EG, , 아랍어 (이집트), 아랍어, 이집트, 
ga-IE, ga, IE, , 아일랜드어 (아일랜드), 아일랜드어, 아일랜드, 
es-PE, es, PE, , 스페인어 (페루), 스페인어, 페루, 
cs-CZ, cs, CZ, , 체코어 (체코), 체코어, 체코, 
tr-TR, tr, TR, , 터키어 (터키), 터키어, 터키, 
cs, cs, , , 체코어, 체코어, , 
es-UY, es, UY, , 스페인어 (우루과이), 스페인어, 우루과이, 
en-IE, en, IE, , 영어 (아일랜드), 영어, 아일랜드, 
en-IN, en, IN, , 영어 (인도), 영어, 인도, 
ar-OM, ar, OM, , 아랍어 (오만), 아랍어, 오만, 
sr-CS, sr, CS, , 세르비아어 (세르비아 몬테네그로(유고슬라비아)), 세르비아어, 세르비아 몬테네그로(유고슬라비아), 
ca, ca, , , 카탈로니아어, 카탈로니아어, , 
be, be, , , 벨로루시어, 벨로루시어, , 
sr-Latn, sr, , , 세르비아어 (로마자), 세르비아어, , 
ko, ko, , , 한국어, 한국어, , 
sq-AL, sq, AL, , 알바니아어 (알바니아), 알바니아어, 알바니아, 
pt-PT, pt, PT, , 포르투칼어 (포르트칼), 포르투칼어, 포르트칼, 
lv-LV, lv, LV, , 라트비아어(레트어) (라트비아), 라트비아어(레트어), 라트비아, 
sr-Latn-RS, sr, RS, , 세르비아어 (로마자,세르비아), 세르비아어, 세르비아, 
sk-SK, sk, SK, , 슬로바키아어 (슬로바키아), 슬로바키아어, 슬로바키아, 
es-MX, es, MX, , 스페인어 (멕시코), 스페인어, 멕시코, 
en-AU, en, AU, , 영어 (오스트레일리아), 영어, 오스트레일리아, 
nn-NO, no, NO, NY, 노르웨이어 (노르웨이,Nynorsk), 노르웨이어, 노르웨이, Nynorsk
en-NZ, en, NZ, , 영어 (뉴질랜드), 영어, 뉴질랜드, 
sv-SE, sv, SE, , 스웨덴어 (스웨덴), 스웨덴어, 스웨덴, 
