zh-TW | zh | TW |  | Chinese (Taiwan) | Chinese | Taiwan |  | TWD
上午 | 下午
一月 | 二月 | 三月 | 四月 | 五月 | 六月 | 七月 | 八月 | 九月 | 十月 | 十一月 | 十二月
一月 | 二月 | 三月 | 四月 | 五月 | 六月 | 七月 | 八月 | 九月 | 十月 | 十一月 | 十二月
星期日 | 星期一 | 星期二 | 星期三 | 星期四 | 星期五 | 星期六
星期日 | 星期一 | 星期二 | 星期三 | 星期四 | 星期五 | 星期六
yyyy/M/d | yyyy/M/d | yyyy'年'M'月'd'日'
a h:mm | a hh:mm:ss | ahh'時'mm'分'ss'秒'
#,##0 | #,##0.### | #,##0% | ¤#,##0.00

und |  |  |  |  |  |  | 
en-IN | en | IN |  | 英文 (印度) | 英文 | 印度 | 
ar-LB | ar | LB |  | 阿拉伯文 (黎巴嫩) | 阿拉伯文 | 黎巴嫩 | 
es-NI | es | NI |  | 西班牙文 (尼加拉瓜) | 西班牙文 | 尼加拉瓜 | 
zh | zh |  |  | 中文 | 中文 |  | 
mk-MK | mk | MK |  | 馬其頓文 (馬其頓) | 馬其頓文 | 馬其頓 | 
be-BY | be | BY |  | 白俄羅斯文 (白俄羅斯) | 白俄羅斯文 | 白俄羅斯 | 
sl-SI | sl | SI |  | 斯拉維尼亞文 (斯洛維尼亞) | 斯拉維尼亞文 | 斯洛維尼亞 | 
es-PE | es | PE |  | 西班牙文 (祕魯共和國) | 西班牙文 | 祕魯共和國 | 
id-ID | in | ID |  | 印尼文 (印尼) | 印尼文 | 印尼 | 
en-GB | en | GB |  | 英文 (英國) | 英文 | 英國 | 

MRO | 478 | 茅利塔尼亞烏吉亞 | MRO | 2
UGX | 800 | 烏干達先令 | UGX | 0
MVR | 462 | 馬爾地夫海島盧非亞 | MVR | 2
LAK | 418 | 老挝基普 | LAK | 2
PGK | 598 | 巴布亞紐幾內亞基那 | PGK | 2
GHC | 288 | 迦納仙蔕 (1979-2007) | GHC | 2
MGA | 969 | 馬達加斯加艾瑞爾 | MGA | 2
BIF | 108 | 蒲隆地法郎 | BIF | 0
EEK | 233 | 愛沙尼亞克朗 | EEK | 2
KHR | 116 | 柬埔寨瑞爾 | KHR | 2
SEK | 752 | 瑞典克羅納 | SEK | 2
TWD | 901 | 新臺幣 | NT$ | 2
MOP | 446 | 澳門元 | MOP | 2
CNY | 156 | 人民幣 | CNY | 2
NGN | 566 | 奈及利亞奈拉 | NGN | 2
XBB | 956 | 歐洲貨幣單位 XBB | XBB | -1
RWF | 646 | 盧安達法郎 | RWF | 0
PAB | 590 | 巴拿馬巴波亞 | PAB | 2
